"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	0.31443	0.34659	0.43863	0.19008	0.02877	0.03998	0.08313	0.10389	0.07554	0.09392	0.2162	0.15816	0.05366	0.05472	0.05346	0.10382	0.11976	0	0.09405	0.13456	0.10642	0.10651	0.07296	0.06446	0.12565	0.16241	0.16026	0.12142	0.10881	0.3383	0.31613	0.34144	0.32119	0.28215	0.3396	0.39347
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens"	0.2913	0.28603	0.31626	0.21972	0.07321	0.15268	0.11566	0.21372	0.19182	0.17817	0.26763	0.14189	0.11843	0.07615	0.1634	0.14446	0.16454	0	0.13632	0.15967	0.1038	0.36555	0.11262	0.09942	0.15525	0.12461	0.17334	0.10687	0.19519	0.28364	0.24189	0.30367	0.31418	0.22296	0.36997	0.39065
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium"	0.2843	0.21854	0.26965	0.17529	0.07916	0.16401	0.20731	0.12801	0.15509	0.19684	0.29597	0.16301	0.15312	0.12796	0.14343	0.17424	0.24809	0	0.26891	0.21435	0.19558	0.2225	0.21053	0.29267	0.24519	0.28349	0.27831	0.26095	0.29583	0.16945	0.16922	0.20882	0.16301	0.14475	0.17121	0.32842
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium"	0.27182	0.25939	0.30881	0	0	0	0	0	0	0	0.29327	0	0	0	0	0	0.06456	0	0.03238	0.01116	0	0.2716	0	0	0.01067	0	0.04741	0.01666	0.03406	0.27359	0.26413	0.16281	0.25414	0.17257	0.32922	0.31589
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4831"	0.26776	0.20726	0.29142	0.2272	0.19136	0.21277	0.21271	0.21738	0.23259	0.20056	0.27548	0.20092	0.19023	0.16678	0.19959	0.19826	0.17288	0	0.15685	0.18599	0.19376	0.16081	0.14485	0.10138	0.17906	0.16745	0.19107	0.11768	0.14496	0.25812	0.19056	0.22338	0.19393	0.20159	0.18521	0.27738
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus"	0.26753	0.22949	0.20868	0.14606	0.02555	0.06223	0.08317	0.07328	0.13383	0.10526	0.2167	0.12444	0.07565	0.06011	0.08294	0.07278	0.14169	0	0.11642	0.10333	0.09458	0.11938	0.07576	0.08028	0.10974	0.09199	0.13279	0.10652	0.14066	0.1785	0.19686	0.13874	0.28998	0.16889	0.19094	0.22809
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9633|s__GGB9633_SGB15090"	0.26214	0.33203	0.27341	0.13547	0.08976	0.13617	0.21752	0.20237	0.20755	0.15292	0.21596	0.28485	0.1329	0	0.19394	0.2002	0.19006	0	0.15817	0.20543	0.1251	0.21992	0.16994	0.09578	0.13746	0.11746	0.19221	0.05068	0.14689	0.34858	0.22302	0.27977	0.2735	0.17338	0.22825	0.31182
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus"	0.25977	0.27207	0.28041	0	0	0	0	0	0.00162	0	0.29937	0	0	0	0	0	0.00551	0	0.02378	0	0	0.2323	0	0	0	0	0.01574	0.00162	0.03364	0.35485	0.25187	0.26416	0.22117	0.25468	0.19482	0.31917
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis"	0.25572	0.23259	0.21714	0.39081	0.21606	0.20927	0.26432	0.25711	0.23579	0.2274	0.21909	0.20177	0.20763	0.24903	0.24294	0.21377	0.29965	0.25334	0.29297	0.28143	0.26638	0.15128	0.3116	0.25468	0.30278	0.30534	0.32019	0.30961	0.28807	0.16766	0.26016	0.20649	0.24421	0.21867	0.25618	0.24915
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	0.25219	0.22736	0.15973	0.23758	0.20666	0.18776	0.21381	0.16396	0.22857	0.16315	0.22882	0.18326	0.16734	0.24846	0.1752	0.16957	0.2385	0.05438	0.20498	0.15419	0.16358	0.16932	0.15455	0.1851	0.21826	0.16325	0.20839	0.18069	0.18638	0.24723	0.1438	0.13101	0.25396	0.12413	0.13633	0.18845
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum"	0.23738	0.08729	0.2223	0.26386	0.14737	0.21718	0.24665	0.13657	0.1404	0.16779	0.24974	0.16323	0.23596	0.19581	0.18957	0.19379	0.2028	0	0.19819	0.18309	0.14945	0.09167	0.3138	0.08937	0.13955	0.15111	0.2169	0.16869	0.17604	0.23591	0.05058	0.08721	0.11805	0.04094	0.10413	0.17901
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3293|s__GGB3293_SGB4348"	0.22811	0.20442	0.19975	0	0	0	0	0	0	0	0.16433	0	0	0	0	0	0	0	0	0	0	0.07433	0	0	0	0	0	0	0	0.05175	0.16916	0.18239	0.14052	0.08244	0.1183	0.23824
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae"	0.22169	0.10274	0.22459	0.22545	0.02947	0.15979	0.15953	0.2683	0.21599	0.15941	0.27035	0.1482	0.11947	0.11142	0.22104	0.22458	0.26013	0	0.1526	0.15024	0.13057	0.22483	0.22114	0.17838	0.24856	0.09677	0.24777	0.21712	0.21855	0.15482	0.09605	0.17924	0.21805	0.16235	0.14154	0.29131
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9642|s__GGB9642_SGB15119"	0.22089	0.23611	0.23341	0	0	0	0	0	0	0	0.22636	0	0	0	0	0	0.0181	0	0.00998	0	0	0.24794	0	0	0.0154	0	0.02854	0.01386	0.03421	0.19526	0.17033	0.12878	0.26982	0.14901	0.15096	0.2389
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii"	0.21638	0.13631	0.14248	0.19891	0.27441	0.20888	0.16254	0.21477	0.22619	0.18778	0.14564	0.24033	0.22126	0.24553	0.16356	0.12813	0.26039	0.08589	0.30783	0.2224	0.30454	0.08315	0.22816	0.23115	0.25628	0.17336	0.26713	0.28031	0.23525	0.14251	0.10147	0.06148	0.15323	0.12686	0.05303	0.15187
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii"	0.21495	0.15501	0.19532	0.33644	0.23886	0.2774	0.17573	0.38837	0.28326	0.32757	0.15241	0.33877	0.28579	0.27361	0.41759	0.32702	0.6545	0.5261	0.52779	0.4108	0.72971	0.16537	0.69246	0.4938	0.60902	0.49657	0.61758	0.62884	0.55312	0.20354	0.12441	0.12188	0.24486	0.20007	0.21159	0.2028
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_MSK_20_85"	0.21391	0.17897	0.22142	0.1032	0.04439	0.1098	0.06506	0.11295	0.12312	0.15699	0.28079	0.17417	0.06379	0.02454	0.06562	0.13768	0.07817	0	0.1304	0.15022	0.11466	0.18756	0.05963	0.04592	0.11675	0.10384	0.13478	0.11527	0.09632	0.26138	0.1609	0.2954	0.23716	0.18184	0.19941	0.25474
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB6317"	0.20933	0.19373	0.18776	0.12751	0	0.09644	0.1638	0.05191	0.09334	0.26197	0.15544	0.15091	0.14728	0.25505	0.19709	0.11968	0.32685	0	0.3529	0.31083	0.3759	0.14109	0.28225	0.31723	0.37461	0.26717	0.4802	0.50571	0.46458	0.18847	0.20424	0.25036	0.21485	0.18227	0.06011	0.24979
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_WCA3_601_WT_6H"	0.18398	0.33605	0.18695	0.14749	0.19854	0.17709	0.09588	0.15935	0.23175	0.20121	0.22693	0.14694	0.14177	0.28473	0.21078	0.17491	0.00449	0	0.00723	0	0	0.21163	0	0	0	0	0	0.00678	0.05655	0.25666	0.25957	0.0893	0.20738	0.22674	0.12028	0.26131
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH"	0.17588	0.09655	0.14925	0.17034	0.04048	0.10723	0.08677	0.06874	0.11231	0.13323	0.09959	0.1508	0.04472	0.13386	0.05701	0.0301	0	0	0	0	0	0.06184	0	0	0	0	0	0	0	0.04076	0.09259	0.10499	0.1523	0.08871	0.16812	0.18191
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides"	0.1688	0.11716	0.20127	0.37079	0.28703	0.34579	0.34837	0.33914	0.41147	0.23476	0.1538	0.32464	0.27358	0.28374	0.33701	0.31116	0.3718	0.26423	0.39379	0.48039	0.39027	0.10695	0.46685	0.29	0.32821	0.29063	0.33299	0.27876	0.27741	0.07847	0.13408	0.14817	0.15086	0.08525	0.14487	0.19221
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_fissicatena"	0.16466	0.18679	0.2275	0.11853	0	0.071	0.09821	0.07896	0.10573	0.09905	0.16065	0.10146	0.0518	0.02039	0.04443	0.06874	0.13657	0	0.19493	0.15274	0.12798	0.15804	0.13896	0.1249	0.16392	0.14949	0.18211	0.15752	0.19892	0.17833	0.22654	0.15074	0.17307	0.13589	0.20221	0.25449
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus"	0.16228	0.11941	0.19859	0	0	0	0	0	0	0	0.17496	0	0	0	0	0	0.06281	0	0.02961	0.05143	0.01033	0.13935	0.0076	0	0.05498	0.05848	0.06477	0.06828	0.08925	0.1634	0.15073	0.08319	0.13859	0.15322	0.12255	0.20186
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	0.15707	0.15718	0.14437	0.21621	0.10101	0.12311	0.12119	0.16073	0.11405	0.1217	0.18469	0.13183	0.13036	0.02699	0.08132	0.10805	0.22915	0	0.1654	0.17842	0.09661	0.10399	0.15554	0.08574	0.20849	0.17011	0.21954	0.20742	0.17347	0.14661	0.14083	0.11159	0.13707	0.11136	0.05356	0.18692
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AM28_29"	0.15406	0.09854	0.11816	0.07376	0	0.01123	0.02468	0.0425	0.05886	0.05399	0.13565	0.02689	0.0106	0	0.08505	0.10663	0.05462	0	0.06246	0.06717	0	0.14958	0	0	0	0.08322	0.09825	0.04659	0.07231	0.08422	0.13116	0.13152	0	0.06932	0.06791	0.16589
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1267|s__GGB1267_SGB1701"	0.15395	0.15669	0.18404	0	0	0	0	0	0	0	0.16735	0	0	0	0	0	0.00232	0	0	0	0	0.00413	0	0	0	0	0	0	0.00309	0.01027	0.16654	0.17553	0.15958	0.13862	0.18501	0.21185
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enteroscipio|s__Enteroscipio_rubneri"	0.14316	0.11743	0.12625	0.1379	0.11122	0.09304	0.09214	0.09976	0.17011	0.11382	0.11274	0.14957	0.12333	0.13551	0.08264	0.09997	0.09206	0	0.0737	0.11003	0.05786	0.12393	0.04718	0.00414	0.07915	0.06528	0.06174	0.02824	0.05653	0.08234	0.09349	0.06956	0.14616	0.04622	0.08007	0.11399
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9758|s__GGB9758_SGB15368"	0.14152	0.12167	0.19066	0.06436	0	0.05399	0.0263	0.03566	0.03924	0.00569	0.13733	0.05205	0.02099	0	0.01038	0.02521	0.04691	0	0.06922	0.06754	0.02824	0.15223	0	0	0.01179	0.03679	0.06473	0.02104	0.05985	0.12518	0.18586	0.13864	0.09338	0.14388	0.10622	0.21809
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis"	0.14092	0.11731	0.11863	0.09612	0	0.07967	0.034	0.05676	0.02469	0.08235	0.17284	0.10058	0.02917	0.0335	0.03719	0.04251	0.00794	0	0.05498	0	0	0	0	0	0.0023	0	0.01521	0	0.04996	0.07268	0.04459	0.12403	0.1467	0.03245	0.14919	0.25198
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_caecimuris"	0.13114	0.1204	0.13836	0.02777	0	0.0419	0.01307	0.03594	0.05376	0.04956	0.15331	0.05646	0.01139	0	0.00791	0.00409	0.08296	0	0.06616	0.03503	0.04641	0.07707	0	0.00266	0.06127	0.06633	0.04858	0.04227	0.0679	0.14531	0.04912	0.0765	0.07566	0.03674	0.02603	0.14069
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens"	0.12932	0.12606	0.12537	0.14968	0.02279	0.13337	0.11109	0.08622	0.11962	0.10366	0.10127	0.14679	0.07031	0.11806	0.05435	0.01961	0.12683	0	0.15295	0.07648	0.08992	0.0229	0.06853	0.09845	0.11331	0.1212	0.1399	0.10146	0.14523	0.06563	0.01179	0.03839	0.12254	0.01919	0.12215	0.1134
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_unclassified_SGB15265"	0.12924	0.14931	0.1863	0.09188	0	0.06372	0.04657	0.04869	0.07785	0.032	0.09676	0.10109	0.04806	0.00723	0.01241	0.05918	0.20843	0.01966	0.21019	0.13016	0.19285	0.10509	0.16314	0.15559	0.1127	0.15968	0.18496	0.26042	0.20154	0.07392	0.07162	0.10281	0.12755	0.12547	0.10812	0.17373
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM49_4BH"	0.12588	0.08545	0.11637	0	0	0	0	0	0	0	0.07599	0	0	0	0	0	0	0	0	0	0	0.07921	0	0	0	0	0	0	0	0.05057	0.03555	0.069	0.06294	0.00515	0.03287	0.11732
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis"	0.12447	0.04907	0.1018	0.05693	0	0.0521	0.01844	0	0.03331	0.05688	0.10209	0.044	0	0.01501	0	0.0151	0.1068	0	0.12084	0.04534	0.06616	0.0112	0.0938	0.02595	0.08894	0.09806	0.12642	0.09504	0.11031	0.08055	0.08502	0.05191	0.07215	0.01053	0.02663	0.13017
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB4579|s__GGB4579_SGB6329"	0.12414	0.05715	0.14759	0.08596	0	0.03364	0.00276	0.0175	0.0961	0.0971	0.21947	0.06742	0.02799	0	0.06501	0.06956	0.33676	0.15494	0.48938	0.27827	0.26053	0.03078	0.27106	0.28732	0.33486	0.25269	0.44295	0.38405	0.49032	0.06618	0.07093	0.11052	0.11524	0.16326	0.09948	0.17693
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	0.11957	0.10011	0.13198	0.33433	0.18003	0.4017	0.30325	0.26778	0.19609	0.19139	0.10192	0.16607	0.18371	0.18861	0.19237	0.23785	0.38102	0.16885	0.28586	0.28666	0.25285	0.01983	0.31566	0.18701	0.34456	0.3123	0.23265	0.3541	0.24661	0.05769	0.15272	0.06667	0.05222	0	0	0.12437
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium"	0.1127	0.11089	0.12561	0.09215	0	0.06793	0.09023	0.10345	0.10609	0.07667	0.08512	0.12026	0.06628	0.02075	0.04218	0.06778	0.09978	0	0.09575	0.10083	0.07576	0.01347	0.01884	0.10526	0.08612	0.0986	0.1173	0.11205	0.10892	0.00806	0.06637	0.01952	0.10169	0.03565	0.03443	0.14662
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB4815"	0.11233	0.11604	0.19246	0.08622	0.00631	0.08933	0	0.02609	0.09945	0.01503	0.12659	0.10804	0.03504	0.04125	0.03885	0.03945	0.05015	0	0.04773	0.04398	0.02541	0.0746	0	0	0.02863	0.05785	0.04374	0.01158	0.08173	0.14035	0.167	0.13747	0.11876	0.05272	0.0477	0.18969
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens"	0.10453	0.05479	0.12695	0.06219	0	0.0386	0	0	0.00856	0.04068	0.10217	0.03122	0	0	0	0.00519	0.04041	0	0.04826	0.03147	0	0.06127	0	0	0.02094	0.05997	0.0588	0.07098	0.07998	0.06357	0.01099	0.03835	0.01954	0.04271	0.0357	0.13186
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_plebeius"	0.10443	0.05084	0.1015	0	0	0	0	0	0	0	0.04052	0	0	0	0	0	0.00608	0	0	0	0	0	0	0	0	0	0	0	0.00893	0	0.04868	0	0.0258	0	0.06843	0.10175
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum"	0.10417	0.12826	0.10826	0	0	0	0.14381	0.3006	0.1516	0	0	0	0	0	0	0	0	0	0	0.16173	0.39469	0	0.07337	0	0	0	0.00733	0.02057	0.03269	0	0.13156	0.0578	0.03082	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089"	0.10127	0.16551	0.14412	0.00409	0	0	0	0	0.00268	0	0.07488	0.01823	0	0	0	0.0072	0.01528	0	0.03016	0.00779	0	0	0	0	0.02455	0.00245	0.0286	0	0.06095	0.07072	0.10449	0.06779	0.10933	0.11323	0.06578	0.15284
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia"	0.09942	0.04648	0.05458	0.02413	0	0.07076	0.01018	0	0.01774	0.00613	0.043	0.01415	0	0	0	0.00761	0	0	0.00987	0	0	0	0	0	0	0	0.00391	0	0.00762	0.01167	0	0	0	0	0	0.07429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4"	0.09872	0.07645	0.06005	0.07807	0.05379	0.048	0.06435	0.06065	0.0709	0.0837	0.06154	0.0511	0.06567	0.05394	0.0826	0.03976	0.00732	0	0.01306	0	0	0	0	0	0.00166	0	0.00666	0	0.01387	0.01463	0.02138	0.09786	0.06046	0.03117	0	0.09263
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza"	0.09761	0.07152	0.11666	0.07647	0	0.05367	0.11876	0.01562	0.09179	0.12444	0.065	0.08938	0.06334	0.05217	0.09041	0.03647	0.12446	0	0.1256	0.07298	0.09599	0	0.14159	0.04361	0.15287	0.10386	0.15208	0.09767	0.14606	0.00609	0	0.00926	0.03888	0.1028	0.02527	0.12529
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis"	0.09489	0.06647	0.0787	0.03196	0	0.02644	0	0.0077	0.0225	0.03952	0.10466	0.03571	0	0	0	0	0.02339	0	0.03092	0.00768	0	0.03021	0	0	0.01785	0.01313	0.02485	0.0188	0.03614	0	0.03799	0.03371	0.06053	0.01449	0.05429	0.11748
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_unclassified|s__Peptococcaceae_bacterium"	0.09145	0.08319	0.09834	0.10019	0.03648	0.09867	0.08023	0.09786	0.12502	0.07323	0.08089	0.15822	0.10247	0.1133	0.09013	0.0974	0.08564	0	0.09056	0.05701	0.04702	0.05027	0.03242	0	0.07243	0.07274	0.08537	0.05653	0.09183	0.08281	0.09495	0.04009	0.10909	0.06405	0.06864	0.10131
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9635|s__GGB9635_SGB15106"	0.08904	0.05133	0.09925	0	0	0	0	0	0	0	0.12062	0	0	0	0	0	0.08501	0	0.10628	0.08907	0.06281	0	0.01556	0	0.14875	0.07139	0.09488	0.09289	0.11298	0.06805	0	0.0949	0.06507	0	0	0.12397
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus"	0.08826	0.07285	0.09705	0.12399	0	0.0914	0.07571	0.06062	0.09604	0.08798	0.05593	0.11124	0.05685	0.08791	0.04123	0.05103	0.13034	0	0.13116	0.10614	0.13757	0	0.08953	0.09454	0.1406	0.14603	0.14878	0.12421	0.13258	0.07404	0.01102	0.03423	0.08201	0	0.05291	0.09209
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus"	0.08633	0.01755	0.08481	0.09349	0.02075	0.06114	0.08656	0.04406	0.06891	0.07261	0.07488	0.08584	0.04023	0.00754	0.00216	0.07094	0.08998	0	0.09918	0.05524	0.03612	0.03138	0.0549	0	0.09295	0.03034	0.08923	0.02324	0.09405	0	0.00249	0.0107	0.02117	0.00568	0.01407	0.08479
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4"	0.08362	0.01057	0.04952	0.02452	0	0.01887	0	0	0	0.00178	0.03318	0.00672	0	0	0	0	0.03561	0	0.04691	0	0	0	0	0	0.01264	0.00576	0.02232	0.01083	0.05295	0	0	0	0.0232	0	0	0.05882
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_ruminis"	0.08361	0.02773	0.08719	0.04829	0	0.03159	0	0	0.04781	0.03178	0.07919	0.07144	0.01936	0.01238	0.00255	0.00963	0.03535	0	0.05091	0.00871	0	0	0	0	0.06663	0.00535	0.02222	0	0.04775	0.02446	0	0	0.06127	0	0	0.08093
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB14844"	0.08117	0	0.05272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09295
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT"	0.07964	0.04136	0.10115	0.0321	0	0.03015	0.04445	0.0342	0.03099	0.03787	0.06656	0.0753	0.01972	0	0.00269	0	0.08226	0	0.06197	0.03608	0.01487	0.00742	0	0	0.02951	0.03734	0.04996	0.03404	0.06895	0	0.06992	0	0.06922	0.04227	0.08272	0.10625
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_AM44_1BH"	0.07065	0.02592	0.07183	0	0	0	0	0	0	0	0.02278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04015	0.09564	0	0	0	0	0.11101
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis"	0.06537	0.02892	0.08289	0.12478	0	0.09422	0.05434	0.08319	0.05335	0.07075	0.07425	0.06547	0.10032	0.05305	0.02791	0.04046	0.11254	0	0.05863	0.00825	0.08981	0	0.07267	0	0.03668	0.0461	0.05491	0.04145	0.0582	0.02887	0.03164	0	0	0.03429	0	0.11149
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii"	0.06352	0	0.05486	0.18167	0	0.12186	0.07667	0.1354	0.08977	0.07866	0.03324	0.07519	0.04474	0.01328	0.03687	0.08206	0.14098	0	0.07542	0.03701	0.07992	0	0.03526	0	0.05884	0.07555	0.06929	0.06346	0.08098	0.02836	0.03332	0	0	0	0	0.06384
